,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,names,city_region,public1,address,full_address,Latitude,Longitude
494,494,511,511,511,«Кызылординский индустриально- технический колледж»,Кызылординская область,True,"г.Казалинск, ул. Джамбула № 24","Кызылординская область, г.Казалинск, ул. Джамбула № 24",45.7652689,62.1039904
495,495,512,512,512,«Казалинский аграрно-технический колледж»,Кызылординская область,True,"г. Кызылорда,пр. Жибек жолы № 2а","Кызылординская область, г. Кызылорда,пр. Жибек жолы № 2а",44.78178689479,65.535489965945
496,496,513,513,513,«Кызылординский политехнический колледж»,Кызылординская область,True,"пос.Теренозек,ул. Муратбаева № 85","Кызылординская область, пос.Теренозек,ул. Муратбаева № 85",45.048724820394,64.976846429043
497,497,514,514,514,«Сырдарьинский аграрно-технический колледж»,Кызылординская область,True,"пос. Шиели,ул Асан ата б/н №","Кызылординская область, пос. Шиели,ул Асан ата б/н №",44.175748688419,66.708700171185
498,498,515,515,515,«Шиелийский индустриально- аграрный колледж»,Кызылординская область,True,пос.Жосалы ул. Муратбаева № 2,"Кызылординская область, пос.Жосалы ул. Муратбаева № 2",45.654058617379,63.314744617471
499,499,516,516,516,«Кармакшинский аграрно-технический колледж»,Кызылординская область,True,пос. Жанакорган ул. Курмангазы № 53,"Кызылординская область, пос. Жанакорган ул. Курмангазы № 53",43.919182482138,67.249950676807
500,500,517,517,517,«Жанакорганский аграрно-технический колледж»,Кызылординская область,True,"г. Аральск,  ул. Аленова № 1","Кызылординская область, г. Аральск,  ул. Аленова № 1",46.800847,61.6459908
501,501,518,518,518,«Аральский индустриально-технический колледж»,Кызылординская область,True,"г. Кызылорда,ул.Казбек би б/н №","Кызылординская область, г. Кызылорда,ул.Казбек би б/н №",44.842611756466,65.491017320788
502,502,520,520,520,Казахский гуманитарно- юридический и технический колледж,Кызылординская область,False,"г.Кызылорда, пер. Мичурина № 1а","Кызылординская область, г.Кызылорда, пер. Мичурина № 1а",44.8386622,65.5146179
503,503,521,521,521,Кызылординский гуманитарно-экономический колледж,Кызылординская область,False,г. Кызылордапр. Абая № 64,"Кызылординская область, г. Кызылордапр. Абая № 64",44.872616625499,65.509559810504
504,504,522,522,522,Ұлағат-Қызылордаколледжі,Кызылординская область,False,г. Кызылордапр. Абая № 31а,"Кызылординская область, г. Кызылордапр. Абая № 31а",47.084191511292,61.157540827558
505,505,523,523,523,Колледж университета «Болашак»,Кызылординская область,False,г. Кызылорда ул. Байтурсынова № 91,"Кызылординская область, г. Кызылорда ул. Байтурсынова № 91",44.836862201261,65.50980052236
